Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
EXAMITION BOARD,UNMPL/SKU/25-26/859,Writing Board,Consumables,Factory Utilities
SSD DRIVE SATA 250,UNMPL/SKU/25-26/1590, SSD DRIVE,Asset,IT Utilities
SSD DRIVE SATA 256,UNM/SKU/24-25/428, SSD DRIVE,Asset,IT Utilities
ACETONE,UNMPL/SKU/25-26/2212,Acetone,Consumables,Product Utilities
SALICYLIC AICD LR 500GM,UNMPL/SKU/25-26/1451,Acid,Housekeeping,Factory Utilities
LAPTOP POWER ADAPTER LB 38193572,UNMPL/SKU/25-26/1401,Adapter,Asset,IT Utilities
PHILIPS ADEPTOR 2A,UNMPL/SKU/25-26/1595,Adapter,Electrical,Factory Utilities
ADEPROR 10 AMP,UNMPL/SKU/25-26/2228,Adaptor,Electrical,Factory Utilities
BOND NEW 20 ML,UNM/SKU/24-25/631,Adhesive,Consumables,Product Utilities
Synthetic Adh. polygrip rapid nxt 30ltr,UM-000529,Adhesive,Consumables,Product Utilities
ADHESIVE ARALDITE XIN R-100 H-900 1.8 KG,UNMPL/SKU/25-26/758,Adhesive,Consumables,Product Utilities
Fevicol SR. 998,UNM/SKU/23-24/295,Adhesive,Consumables,Product Utilities
LAPOX FILLO FAST HARDNER 800 GM BOLT,UNM/SKU/24-25/809,Adhesive,Consumables,Product Utilities
LAPOX FILLO FAST RESIN 1KG,UNM/SKU/24-25/810,Adhesive,Consumables,Product Utilities
LAPOX RAPID & CLEAR ADHESIVE 180 GM,UNM/SKU/24-25/544,Adhesive,Consumables,Product Utilities
ADHESIVE ARELDITE XIN R-100 H-900 1.8 KG,,Adhesive,Consumables,Product Utilities
TEKBOND ACT SILICONE GP- TRANSPRENT,UNMPL/SKU/25-26/515,Adhesive,Consumables,Product Utilities
LAPOX ULTRA ADHESIVE 90 GM,UNM/SKU/24-25/543,adhesive,Consumables,Product Utilities
Fevical 26 kg,UNM/SKU/24-25/916,adhesive,Consumables,Product Utilities
FEVICOL PROBOND,UNM/SKU/24-25/1367,adhesive,Consumables,Product Utilities
ADHESIVE ARALDITE KLEAR IN 450 GM,UNMPL/SKU/25-26/327,Adhesive,Consumables,Product Utilities
GLUE GUN STICK,UNMPL/SKU/25-26/99,Adhesive,Consumables,Product Utilities
Fabric Glue,UM-000597,Adhesive,Consumables,Product Utilities
Adhesive AROLIGHT 1.8 kg Adhesive ARELDITE XIN R-100 H-900 - for marble,UNMPL/SKU/25-26/485,Adhesive,Consumables,Product Utilities
Tensogrip TG C101 clener,UNM/SKU/24-25/1918,Adhesive,Consumables,Product Utilities
M seal,UNM/SKU/23-24/423,Adhesive ,Consumables,Product Utilities
Fevicol 1K PUR ADH 500GM,UNMPL/SKU/25-26/2272,Adhesive ,Consumables,Product Utilities
